ticker,company_name,industry,kpi_name,kpi_category,kpi_unit,kpi_output_type,kpi_description,kpi_tags,kpi_source,kpi_formula,var_a_type,var_a_name,var_b_type,var_b_name
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Geographic Revenue - Revenue from Foreign,Geographic Revenue,$,$,Currency value of Geographic Revenue,"geographic,  revenue,  revenue,  foreign, aeo, american eagle outfitters, apparel retailers",EventVester,"SUM(A1,A2,…,An)",Ai,Geographic Revenue,n,Number of Regions
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Geographic Revenue - Revenue from United States,Geographic Revenue,$,$,Currency value of Geographic Revenue,"geographic,  revenue,  revenue,  unitedstates, aeo, american eagle outfitters, apparel retailers",EventVester,"SUM(A1,A2,…,An)",Ai,Geographic Revenue,n,Number of Regions
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Inventory - Total Consolidated-ending Inventory at Cost,Inventory,$,$,Currency value of Total inventory,"inventory,  total consolidated ending inventory, at cost, aeo, american eagle outfitters, apparel retailers",EventVester,"SUM(A1,A2,…,An)",Ai,Total inventory,n,Number of Locations
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings - AE77 Store ,New Stores Openings,stores,#,Currency value of New Store Openings,"new store,  openings,  ae77,  store, aeo, american eagle outfitters, apparel retailers",EventVester,"COUNT(A1, A2,…,An)",Ai,New Stores Openings,n,Number of Stores
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings - Aerie Side-by-side Store ,New Stores Openings,stores,#,Currency value of New Store Openings,"new store,  openings,  aerie, side by side,  store, aeo, american eagle outfitters, apparel retailers",EventVester,"COUNT(A1, A2,…,An)",Ai,New Stores Openings,n,Number of Stores
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings - Aerie stand-alone Store ,New Stores Openings,stores,#,Currency value of New Store Openings,"new store,  openings,  aeriest,  alone,  store, aeo, american eagle outfitters, apparel retailers",EventVester,"COUNT(A1, A2,…,An)",Ai,New Stores Openings,n,Number of Stores
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings - Todd Snyder Store ,New Stores Openings,stores,#,Currency value of New Store Openings,"new store,  openings,  toddsnyder,  store, aeo, american eagle outfitters, apparel retailers",EventVester,"COUNT(A1, A2,…,An)",Ai,New Stores Openings,n,Number of Stores
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,New Stores Openings - Unsubscribed Store,New Stores Openings,stores,#,Currency value of New Store Openings,"new store,  openings,  unsubscribed,  store, aeo, american eagle outfitters, apparel retailers",EventVester,"COUNT(A1, A2,…,An)",Ai,New Stores Openings,n,Number of Stores
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Segment Revenue - Aerie Revenue,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  aerie,  revenue, aeo, american eagle outfitters, apparel retailers",EventVester,"SUM(A1,A2,…,An)",Ai,Segment Revenue,n,Number of Segments
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Segment Revenue - American Eagle Revenue,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  americaneagle,  revenue, aeo, american eagle outfitters, apparel retailers",EventVester,"SUM(A1,A2,…,An)",Ai,Segment Revenue,n,Number of Segments
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Segment Revenue - Corporate Revenue,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  corporate,  revenue, aeo, american eagle outfitters, apparel retailers",EventVester,"SUM(A1,A2,…,An)",Ai,Segment Revenue,n,Number of Segments
AEO,"American Eagle Outfitters, Inc.",Apparel Retailers,Store Closures - Aerie Stand-alone Store,Store Closures,stores,$,Currency value of Store Closures,"storeclosures,  aeriest,  alone,  store, aeo, american eagle outfitters, apparel retailers",EventVester,"SUM(A1,A2,…,An)",Ai,Stores Closures,n,Number of Stores
